source_id,source_kind,x_code,y_code,z_code,q_group_0_s,q_group_1_s,q_group_2_s,q_group_3_s,q_group_4_s,q_group_5_s,q_group_6_s,q_group_7_s,q_group_8_s
1876,star,0.71765679068133126,0.41698801523149071,0.01354116448895947,6.2346482428696157e+51,8.3301660087580048e+51,1.1009448870670813e+51,8.8751060228128572e+49,3.6558856504364345e+47,1.3953331883678398e+47,4.0409980325547147e+45,1.2991763622770535e+38,113834.88732329225
1877,star,0.73508461303365558,0.34595548491355138,0.052316268609986623,6.2346482428696157e+51,8.3301660087580048e+51,1.1009448870670813e+51,8.8751060228128572e+49,3.6558856504364345e+47,1.3953331883678398e+47,4.0409980325547147e+45,1.2991763622770535e+38,113834.88732329225
1878,star,0.77746686111442598,0.033549912479127947,0.04176531083376428,6.2346482428696157e+51,8.3301660087580048e+51,1.1009448870670813e+51,8.8751060228128572e+49,3.6558856504364345e+47,1.3953331883678398e+47,4.0409980325547147e+45,1.2991763622770535e+38,113834.88732329225
1879,star,0.77959947431260379,0.033063828839178876,0.041770509564734583,6.2346482428696157e+51,8.3301660087580048e+51,1.1009448870670813e+51,8.8751060228128572e+49,3.6558856504364345e+47,1.3953331883678398e+47,4.0409980325547147e+45,1.2991763622770535e+38,113834.88732329225
1880,star,0.77927487254924122,0.032769759832217249,0.042212853029690162,6.2346482428696157e+51,8.3301660087580048e+51,1.1009448870670813e+51,8.8751060228128572e+49,3.6558856504364345e+47,1.3953331883678398e+47,4.0409980325547147e+45,1.2991763622770535e+38,113834.88732329225
1881,star,0.2231032408356852,0.075898889023248609,0.25134705467568608,6.2601290049024805e+51,8.3535933614817014e+51,1.104746307862359e+51,8.9140126990643283e+49,3.6724749987768442e+47,1.4031818947787818e+47,4.0687846230914334e+45,1.3088203607348371e+38,114351.94925737802
1882,star,0.35144238311196435,0.0064186567467961518,0.45869204002431202,6.2601290049024805e+51,8.3535933614817014e+51,1.104746307862359e+51,8.9140126990643283e+49,3.6724749987768442e+47,1.4031818947787818e+47,4.0687846230914334e+45,1.3088203607348371e+38,114351.94925737802
1883,star,0.41506744038306842,0.27706936825007877,0.34738680352992535,6.2601290049024805e+51,8.3535933614817014e+51,1.104746307862359e+51,8.9140126990643283e+49,3.6724749987768442e+47,1.4031818947787818e+47,4.0687846230914334e+45,1.3088203607348371e+38,114351.94925737802
1884,star,0.27415886321505145,0.094486921374051666,0.30418416597363757,6.2601290049024805e+51,8.3535933614817014e+51,1.104746307862359e+51,8.9140126990643283e+49,3.6724749987768442e+47,1.4031818947787818e+47,4.0687846230914334e+45,1.3088203607348371e+38,114351.94925737802
1885,star,0.4349457995640873,0.29457890085823968,0.29946297583640663,1.2520258009804961e+52,1.6707186722963403e+52,2.2094926157247179e+51,1.7828025398128657e+50,7.3449499975536884e+47,2.8063637895575635e+47,8.1375692461828668e+45,2.6176407214696742e+38,228703.89851475603
1886,star,0.41617153261062029,0.27581644803239619,0.34478883497273977,6.2601290049024805e+51,8.3535933614817014e+51,1.104746307862359e+51,8.9140126990643283e+49,3.6724749987768442e+47,1.4031818947787818e+47,4.0687846230914334e+45,1.3088203607348371e+38,114351.94925737802
1887,star,0.48632100362145297,0.38825633426149125,0.27868141326440826,6.2601290049024805e+51,8.3535933614817014e+51,1.104746307862359e+51,8.9140126990643283e+49,3.6724749987768442e+47,1.4031818947787818e+47,4.0687846230914334e+45,1.3088203607348371e+38,114351.94925737802
1888,star,0.015523958050431542,0.48725031674363783,0.68796447762174773,6.2601290049024805e+51,8.3535933614817014e+51,1.104746307862359e+51,8.9140126990643283e+49,3.6724749987768442e+47,1.4031818947787818e+47,4.0687846230914334e+45,1.3088203607348371e+38,114351.94925737802
1889,star,0.38980627775852572,0.82577907772135095,0.66688254343716225,6.2601290049024805e+51,8.3535933614817014e+51,1.104746307862359e+51,8.9140126990643283e+49,3.6724749987768442e+47,1.4031818947787818e+47,4.0687846230914334e+45,1.3088203607348371e+38,114351.94925737802
1890,star,0.39131771577081448,0.82479954896587104,0.66818875737488803,6.2601290049024805e+51,8.3535933614817014e+51,1.104746307862359e+51,8.9140126990643283e+49,3.6724749987768442e+47,1.4031818947787818e+47,4.0687846230914334e+45,1.3088203607348371e+38,114351.94925737802
1891,star,0.47151072333987543,0.69790634258790341,0.082705756226849669,6.2601290049024805e+51,8.3535933614817014e+51,1.104746307862359e+51,8.9140126990643283e+49,3.6724749987768442e+47,1.4031818947787818e+47,4.0687846230914334e+45,1.3088203607348371e+38,114351.94925737802
