# Intermediate legacy extraction. No age axis is present.
# Do not use directly as a time-dependent canonical table.
source,channel,initial_mass,birth_metallicity,wind_mass,wind_fraction,net_H,net_He,net_C,net_N,net_O,net_Ne,net_Mg,net_Si,net_S,net_Ca,net_Fe,net_Z_TOTAL
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,3.00000000000000000e+00,1.40000000000000003e-02,2.30600000000000005e+00,7.69000000000000017e-01,-8.75459999999999988e-02,7.79389999999999944e-02,1.54012600000000000e-02,3.00162599999999986e-03,-3.91431300000000021e-04,3.73851000000000001e-03,5.51004300000000006e-04,7.32773100000000047e-05,1.83765999999999995e-05,-1.89474000000000009e-05,3.61843100000000019e-04,9.60699999999999922e-03
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,3.25000000000000000e+00,1.40000000000000003e-02,2.54199999999999982e+00,7.82000000000000028e-01,-1.04971999999999996e-01,9.18770000000000003e-02,1.87931599999999997e-02,3.46404200000000008e-03,-5.90295499999999966e-04,4.69489599999999962e-03,6.29302199999999946e-04,8.20289599999999940e-05,1.97103399999999994e-05,-2.10936600000000016e-05,3.96219599999999997e-04,1.30950000000000007e-02
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,3.50000000000000000e+00,1.40000000000000003e-02,2.77000000000000002e+00,7.91000000000000036e-01,-9.94000000000000022e-02,8.81170000000000009e-02,1.94667900000000012e-02,3.71555100000000010e-03,-7.01750700000000030e-04,3.56133199999999995e-03,6.73534600000000034e-04,9.01885100000000063e-05,2.19477799999999988e-05,-2.28392200000000012e-05,4.38355100000000007e-04,1.12829999999999996e-02
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,3.75000000000000000e+00,1.40000000000000003e-02,2.98399999999999999e+00,7.96000000000000041e-01,-9.51140000000000041e-02,8.61429999999999974e-02,1.80904399999999993e-02,4.25163300000000032e-03,-7.98940300000000039e-04,3.39110899999999979e-03,7.66319899999999988e-04,1.01889400000000001e-04,2.28179100000000012e-05,-2.48390900000000001e-05,4.69134000000000012e-04,8.97099999999999981e-03
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,4.00000000000000000e+00,1.40000000000000003e-02,3.18699999999999983e+00,7.97000000000000042e-01,-7.68920000000000020e-02,7.34360000000000013e-02,1.59254999999999987e-02,4.47702699999999974e-03,-8.91292499999999971e-04,1.45914599999999992e-03,7.66943699999999987e-04,1.09024900000000000e-04,2.52922400000000010e-05,-2.61447600000000014e-05,5.09849300000000038e-04,3.45599999999999987e-03
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,4.25000000000000000e+00,1.40000000000000003e-02,3.39699999999999980e+00,7.99000000000000044e-01,-1.01281999999999997e-01,9.14999999999999980e-02,9.87991300000000058e-03,1.72906199999999996e-02,-1.01177800000000007e-03,1.78734800000000002e-03,9.17081199999999997e-04,1.30134800000000013e-04,2.59967199999999993e-05,-2.87292800000000015e-05,5.31687800000000036e-04,9.78200000000000076e-03
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,4.50000000000000000e+00,1.40000000000000003e-02,3.63799999999999990e+00,8.08000000000000052e-01,-1.21698000000000001e-01,1.14790000000000003e-01,5.72208699999999983e-03,2.03108799999999999e-02,-1.22312200000000010e-03,1.54646199999999997e-03,9.40128799999999983e-04,1.36815199999999997e-04,2.74832800000000002e-05,-3.02317199999999986e-05,5.74032199999999996e-04,6.90800000000000008e-03
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,4.75000000000000000e+00,1.40000000000000003e-02,3.87999999999999989e+00,8.16999999999999948e-01,-1.58289999999999986e-01,1.50320000000000009e-01,-3.42386000000000025e-04,2.90819200000000007e-02,-1.67634300000000006e-03,1.61516900000000007e-03,1.00992800000000000e-03,1.48203399999999991e-04,2.91870100000000009e-05,-3.22799900000000019e-05,6.11344299999999987e-04,7.96999999999999965e-03
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,5.00000000000000000e+00,1.40000000000000003e-02,4.12100000000000044e+00,8.23999999999999955e-01,-2.01026000000000010e-01,1.90360000000000001e-01,-3.08569300000000003e-03,3.60221800000000009e-02,-2.48678800000000019e-03,1.77961200000000008e-03,1.09194600000000011e-03,1.62613899999999992e-04,3.04235799999999998e-05,-3.44274200000000032e-05,6.46208799999999951e-04,1.06660000000000001e-02
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,5.50000000000000000e+00,1.40000000000000003e-02,4.59999999999999964e+00,8.35999999999999965e-01,-2.77899999999999980e-01,2.67299999999999982e-01,-5.13397999999999979e-03,4.28782700000000030e-02,-5.08664900000000038e-03,1.79903799999999998e-03,1.22694499999999990e-03,1.89321500000000007e-04,3.39252199999999997e-05,-3.84257799999999992e-05,7.19164899999999983e-04,1.06000000000000000e-02
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,6.00000000000000000e+00,1.40000000000000003e-02,5.07899999999999974e+00,8.45999999999999974e-01,-3.51084000000000007e-01,3.45640000000000003e-01,-6.44448600000000014e-03,4.43245599999999990e-02,-7.93341000000000011e-03,1.53477299999999991e-03,1.32318499999999994e-03,2.10119099999999992e-04,3.81068699999999972e-05,-4.21941299999999985e-05,7.95771000000000022e-04,5.44400000000000005e-03
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,7.00000000000000000e+00,1.40000000000000003e-02,6.02400000000000002e+00,8.60999999999999988e-01,-4.69694000000000000e-01,4.79150000000000020e-01,-1.00406599999999999e-02,4.17339399999999972e-02,-1.13564400000000006e-02,8.92998500000000053e-04,1.44567799999999994e-03,2.33453400000000003e-04,4.80970099999999978e-05,-4.91429899999999996e-05,9.57104299999999956e-04,-9.45600000000000086e-03
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,8.00000000000000000e+00,1.40000000000000003e-02,6.93799999999999972e+00,8.66999999999999993e-01,-5.87188000000000043e-01,6.07069999999999999e-01,-1.29548700000000003e-02,3.99121299999999971e-02,-1.21265200000000000e-02,5.79442499999999953e-04,1.66215200000000007e-03,2.53257200000000019e-04,5.67050699999999982e-05,-5.61679299999999967e-05,1.10537200000000008e-03,-1.98820000000000004e-02
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,1.00000000000000000e+00,2.99999999999999989e-02,4.26999999999999991e-01,4.26999999999999991e-01,-6.36600000000000013e-03,9.24299999999999948e-03,-3.65309600000000010e-04,3.01048700000000017e-04,-2.23539299999999996e-04,-5.36923900000000004e-05,1.56171400000000007e-04,-1.51345099999999995e-05,-1.20957800000000006e-05,-1.06439800000000004e-05,6.50849299999999996e-05,-2.87699999999999978e-03
/home/kjhan/BACKUP/Eunha.A1/LagEunha/src/AstroModules/SW_yield/agb_yields.h,2,1.25000000000000000e+00,2.99999999999999989e-02,6.60000000000000031e-01,5.28000000000000025e-01,-1.04410000000000006e-02,1.48660000000000007e-02,-8.67494199999999972e-04,8.13202500000000019e-04,-3.38310300000000026e-04,-8.27210399999999990e-05,2.41479899999999992e-04,-2.33156000000000009e-05,-1.86590900000000016e-05,-1.64460900000000010e-05,1.00743999999999996e-04,-4.42500000000000011e-03
